ref_id,year,group,short_title,role,limitation
1,2017,Методологическая база DL,Deep learning in medical image analysis,Общий обзор DL в медвизуализации,Требует качественных данных и строгих протоколов
2,2022,Transfer learning,Transfer learning for medical image classification,Обоснование transfer learning,Есть доменный разрыв между ImageNet и медизображениями
3,2023,Аугментация данных,Data augmentation for medical imaging,Обоснование контролируемой аугментации,Не всякая аугментация клинически допустима
4,2016,Архитектуры CNN,Deep Residual Learning for Image Recognition,Baseline-архитектура ResNet,"Нужна сравнительная оценка, а не выбор по инерции"
5,2017,XAI / интерпретация,Grad-CAM,Базовый метод визуальной интерпретации,Не даёт полноценного причинного объяснения
6,2023,XAI / интерпретация,Saliency-based XAI in medical imaging,Клинические ограничения saliency-map,"Визуально убедительно, но не всегда клинически надёжно"
7,2026,XAI / интерпретация,Systematic review of XAI in medical imaging,Отсутствие стандарта оценки объяснений,Сложно формализовать качество объяснения
8,2022,Обзор по ранам,AI in Wound Assessment,Широкий контекст задач анализа ран,Классификация сама по себе может быть слишком узкой
9,2014,Классические методы,Automated tissue classification framework,Ранний предметный baseline,Ручные признаки хуже переносятся между доменами
10,2022,Сегментация тканей,Wound tissue segmentation,Переход к локальному анализу тканей,Требует более дорогой разметки
11,2022,Сегментация тканей,Deep learning on mobile devices,Прикладной мобильный сценарий,Компромисс между точностью и вычислительной ценой
12,2022,Классификация ран,Pressure injury stage classification,Прямая близость к задаче классификации,Обычные метрики слабо раскрывают структуру ошибок
13,2022,Мультимодальные подходы,Multi-modal wound classification,Показывает пользу дополнительного контекста,Чисто визуальная модель имеет пределы применимости
14,2024,Мультимодальные подходы,Integrated image and location analysis,Усиление классификации через локализацию,Усложняет сбор данных и структуру входов
15,2026,Классификация ран,Hypergranulation detection,Пример более тонкой дифференциации состояний,Требует ещё более строгой разметки
16,2022,Обзор по ранам,Survey of wound image analysis,Систематизация DL-решений для ран,Сильная неоднородность датасетов и метрик
17,2019,Мобильные решения,Diabetic foot ulcer detection on mobile devices,Инженерная устойчивость в реальном сценарии,Есть риск снижения переносимости
18,2022,Мобильные решения,Binary patterns + CNN for diabetic foot ulcers,Комбинация текстурных признаков и CNN,Привязка к конкретному сценарию
19,2017,Измерение ран,Automated measurement of pressure injury,Напоминание о роли количественных признаков,Не решает задачу полной классификации состояния
20,2012,Общая обработка медизображений,Информационные технологии анализа изображений,Теоретический фундамент по обработке изображений,Не является прямым аналогом wound-classification
21,2025,Общая обработка медизображений,Методы цифровой обработки медизображений,Поддержка блока предобработки и улучшения качества,"Фокус шире, чем только раневые изображения"
